companyName,description,countryOfCompany,categoryOfCompany,email,
StradVision,"Founded in 2014, StradVision is an automotive industry pioneer in AI-based vision processing technology for ADAS. StradVision's SVNet is being deployed on 50+ vehicle models in partnership with 13 OEMs worldwide and is serviced by over 200 employees in Seoul, San Jose, Tokyo, Munich, and Shanghai.",South Korea,"Artificial Intelligence,Startups,Vehicle Tech",contact@stradvision.com,
Streamlytics,,United States of America,,,
StreamUnlimited Engineering Gmbh,,Austria,"Audio Technologies,Home Entertainment Hardware,IoT/Sensors,Smart Home and Appliances,Streaming",,
Stride Tech Medical Inc.,,United States of America,,,
Striemo Inc.,,Japan,,,
Stylos Tech,,Mexico,,,
StyQR,,France,,,
"Suhyuntech Co., Ltd.","SuhyunTech is Venture company that develops smart sound separation technology. Since its establishment in 2016, it has been growing in the field of sound safety technology, and has been awarded the grand prize at the 2020 K-Safety Innovation Award and many other technical contest auditions. Our goal is to create smart sound solution.",South Korea,,,
Sunbo Angel Partners,"Sunbo Angel Partners' vision is to link the innovative technologies to industries, and to the investment ecosystem. We built networks in accordance with these three factors. And we call these “The Dots”. 
Sunbo Angel Partners had a business model of pursuing ‘Open Innovation’ which can suggest access to information of startups ecosystem.",South Korea,"Energy/Power,High-Tech Retailing/E-Commerce,Investing,Smart Cities and Resilience,Startups",contact@sunboangel.kr,
Sungale Electronics (Shenzhen) Limited,"eco4life is a IOT Smart Home brand. 
Sonicgrace, Inc., a professional Smart Home Devices and WiFi Cloud Digital Picture Frame manufacturer. With more than 15 years manufactory history, Sonicgrace enters the North American market to introduce the eco4life brand smart home products, connectivity solutions and services.",United States,Smart Home and Appliances,info@sonicgracehome.com,
Sungale Electronics (Shenzhen) Limited,"eco4life is a IOT Smart Home brand. 
Sonicgrace, Inc., a professional Smart Home Devices and WiFi Cloud Digital Picture Frame manufacturer. With more than 15 years manufactory history, Sonicgrace enters the North American market to introduce the eco4life brand smart home products, connectivity solutions and services.",United States,Smart Home and Appliances,info@sonicgracehome.com,
"Sunyon Industry Co., Ltd.",,China,,,
"SUPER73, Inc.","SUPER73 is an American lifestyle adventure brand fusing motorcycle heritage and youth culture. They have led the charge in pioneering a new approach to help redefine the electric motorbike industry by emphasizing thoughtful design, responsible manufacturing techniques, and local community engagement.",United States of America,"Family and Lifestyle,Startups,Sustainability,Vehicle Tech",info@super73.com,
Supersonic Inc.,"Supersonic Inc. has been manufacturing Mobile & Consumer Electronics for over 40 years now! We produce quality merchandise of exceptional value featuring the latest trends and technology. Our product line consists of: TV's, Tablets, DJ/PA/Tailgate Speakers, Smart Home, Gaming, Fitness, Wireless Charging, Accessories, and much more!",United States of America,"Audio Technologies,Fitness and Wearables,Mobile Hardware and Accessories,Smart Home and Appliances,Video Technologies",Sales@SupersonicINC.com,
Supersonic Inc.,"Supersonic Inc. has been manufacturing Mobile & Consumer Electronics for over 40 years now! We produce quality merchandise of exceptional value featuring the latest trends and technology. Our product line consists of: TV's, Tablets, DJ/PA/Tailgate Speakers, Smart Home, Gaming, Fitness, Wireless Charging, Accessories, and much more!",United States of America,"Audio Technologies,Fitness and Wearables,Mobile Hardware and Accessories,Smart Home and Appliances,Video Technologies",Sales@SupersonicINC.com,
SureCall,"SureCall is the multi-patent, award-winning performance leader for cell phone signal boosters. Since 2001, SureCall has quickly grown to innovate at the cutting edge of the industry, winning back-to-back Inc. 5000 awards every year since 2016 as well as 2017 & 2020 CES Innovation Awards. US-based company located in Fremont California USA.",United States,,sales@surecall.com,
"Surplus Giant, Inc.","Surplus Giant Inc. is a wholesale distributor of branded electronics & accessories such as routers, modems, Wi-Fi range extenders, power banks, mobile accessories, bluetooth speakers, true wireless, etc. We specialize in closeout products, excess & surplus inventories. We carry brands such as JBL, Anker, Mophie, Belkin, Scosche etc.",United States of America,"Accessories,Audio Technologies,Fitness and Wearables,High-Tech Retailing/E-Commerce,Smart Home and Appliances",info@surplusgiant.com,
"SOS Lab Co., Ltd.","SOSLAB specializes in LiDAR (Light Detection and Ranging), which measures the distance to an object using light. We develop and supply 2D and 3D LiDARs to the market, growing into a global company by successfully developing solid-state LiDAR for automotive. We deliver advanced safety to the world.",South Korea,,contact@soslab.co,
Sound Oasis,,United States of America,,,
Sounzone,,Italy,Entertainment and Content,,
Sourcenext Inc.,"Pocketalk is the global leader in connecting the world and unlocking possibilities as the only translation device on the market that enables an authentic communication experience. Developed, manufactured and distributed by Sourcenext, the two-way translation device can translate 82 languages in more than 130 countries and regions.",United States,,,
SPACEMAP Inc.,,South Korea,"Artificial Intelligence,Cloud Computing/Data,Drones,Startups,Space Technology",douglas.kim@spacemap42.com,
Spacetalk,"Spacetalk is the proud developer of breakthrough software and wearable devices that enrich connections between families, schools and society.

Spacetalk Adventurer is the brand new 4G mobile phone, GPS tracker all-in one wearable device.

Spacetalk Kids is the award winning 3G mobile phone, GPS tracker and watch all-in-one wear",Australia,,,
Spacial Inc.,,Japan,,,
Spain - Galician Innovation Solutions,"Our main goal is to accelerate and consolidate technology projects, transforming them into innovative, viable and scalable companies. We want to attract, retain talent and increase the international projection of the businesses.",Spain,"AR/VR/XR,Cybersecurity,IoT/Sensors,Startups,Vehicle Tech",,
Specialist-Wanted,,France,"Marketing and Advertising,Startups",contact@specialist-wanted.com,
Specialty Coating Systems,"SCS is the leader in Parylene and liquid conformal coating services and technologies with 20 worldwide locations and 50 years of experience. Ultra-thin and pin-hole-free, SCS Parylenes support IPX7 and IPX8 waterproof product design for consumer electronics devices such as wireless headphones, smartphones, watches and other wearables.",United States,,SCSSales@scscoatings.com,
SpiderBracket,,United States of America,"Accessories,Gaming and Esports,Home Office Hardware and Accessories,Mobile Hardware and Accessories,Startups",,
"Splitvolt, Inc.",Splitvolt Empowers EV Adoption™ via compelling solutions for fast home charging and power access. The award-winning Splitvolt Splitter Switch intelligently shares power on an existing dryer socket--without an electrician!  Splitvolt also offers EV chargers and extension cable accessories at industry-leading price points.,United States,,info@splitvolt.com,
"SpoLive Interactive, Inc.",,Japan,,,
Sportreact,,Croatia,,,
SportsArt,,United States of America,,,
Square Off,Square Off is a robotics company which endeavours to build smart technologies to add a little bit of magic to people's daily lives. Square Off developed the world's smartest chess board which enables you to play chess with any player across the globe while the opponent's pieces move automatically on your board.,United States,"Artificial Intelligence,Education,Family and Lifestyle,Robotics,Sports Technology",neel@squareoffnow.com,
